Country,Year,Energy_Consumption
Total CIS,2012.0,2.1102858401345657
Iran,2012.0,0.1264669536612928
Iraq,2012.0,0.043401747941970825
Israel,2012.0,0.005356766720069572
Kuwait,2012.0,0.0
Oman,2012.0,0.0
Qatar,2012.0,0.00012044339382555336
Saudi Arabia,2012.0,0.0002530619967728853
United Arab Emirates,2012.0,0.0002392919996054843
Other Middle East,2012.0,0.044409294499928365
Total Middle East,2012.0,0.22024756021346548
Algeria,2012.0,0.0041035884351003915
Egypt,2012.0,0.14676059409976006
Morocco,2012.0,0.02328661223873496
South Africa,2012.0,0.018120709573850036
Eastern Africa,2012.0,0.609417981687784
Middle Africa,2012.0,0.16808085126615424
Western Africa,2012.0,0.1776794143107736
Other Northern Africa,2012.0,0.0031511678262177156
Other Southern Africa,2012.0,0.02681993509759195
Total Africa,2012.0,1.177420854535967
Australia,2012.0,0.31455746572464705
Bangladesh,2012.0,0.00927316164597869
China,2012.0,10.008199278265238
China Hong Kong SAR,2012.0,0.0007028406398603693
India,2012.0,1.674039762467146
Indonesia,2012.0,0.24066671542823315
Japan,2012.0,1.1372113750840072
Malaysia,2012.0,0.11345402337610722
New Zealand,2012.0,0.31650016732601216
Pakistan,2012.0,0.10691706306533888
Philippines,2012.0,0.21255501499399543
Singapore,2012.0,0.007386451121419668
South Korea,2012.0,0.09916161093860865
Sri Lanka,2012.0,0.0343982808990404
Taiwan,2012.0,0.09526133327972275
Thailand,2012.0,0.18218801636248827
Vietnam,2012.0,0.5272905464516953
Other Asia Pacific,2012.0,0.48079970553177986
Total Asia Pacific,2012.0,15.560562812601319
Total World,2012.0,49.73744455308546
of which: OECD,2012.0,24.297362195269216
                 Non-OECD,2012.0,25.440082357816244
                 European Union #,2012.0,7.983723902674683
Canada,2013.0,4.172221422195435
Mexico,2013.0,0.39855734119191766
United States,2013.0,6.608074888586998
Total North America,2013.0,11.17885365197435
Argentina,2013.0,0.3865282693877816
Brazil,2013.0,4.993404887616634
Chile,2013.0,0.27998244017362595
Colombia,2013.0,0.47868939861655235
Ecuador,2013.0,0.11241032937687123
Peru,2013.0,0.24661846039816737
Trinidad & Tobago,2013.0,6.110604590503499e-05
Venezuela,2013.0,0.8005168085219339
Central America,2013.0,0.304812839924125
Other Caribbean,2013.0,0.05989265641073871
Other South America,2013.0,0.7390969548559951
Total S. & Cent. America,2013.0,8.40201415132833
Austria,2013.0,0.5222428059205413
Belgium,2013.0,0.13796745613217354
Bulgaria,2013.0,0.07258446491323411
Croatia,2013.0,0.09253972867008997
Cyprus,2013.0,0.003919703071005642
Czech Republic,2013.0,0.10973840579390526
Denmark,2013.0,0.17289311393687967
Estonia,2013.0,0.01359725371003151
Finland,2013.0,0.2801305071916431
France,2013.0,1.0774865131825209
Germany,2013.0,1.6800127401947975
Greece,2013.0,0.1469821920618415
Hungary,2013.0,0.03611127159092575
Iceland,2013.0,0.1757308346204809
Ireland,2013.0,0.06021859426982701
Italy,2013.0,1.1783246819395572
Latvia,2013.0,0.03640657925279811
Lithuania,2013.0,0.01798332604812458
Luxembourg,2013.0,0.006024432042977423
Netherlands,2013.0,0.1431562900543213
North Macedonia,2013.0,0.015667679934267653
Norway,2013.0,1.2857244469050784
Poland,2013.0,0.21256266674026847
Portugal,2013.0,0.305735417176038
Romania,2013.0,0.20291288709267974
Slovakia,2013.0,0.0681313574896194
Slovenia,2013.0,0.05302676864084788
Spain,2013.0,1.1465093181468546
Sweden,2013.0,0.8534597093239427
Switzerland,2013.0,0.4021068946822197
Turkey,2013.0,0.6958097704919055
Ukraine,2013.0,0.15023362124338746
United Kingdom,2013.0,0.5951834283769131
Other Europe,2013.0,0.35522327618309646
Total Europe,2013.0,12.306338137024795
Azerbaijan,2013.0,0.0153959690942429
Belarus,2013.0,0.0033407429000362754
Kazakhstan,2013.0,0.07590276741757407
Russia,2013.0,1.7821254562586546
Turkmenistan,2013.0,4.908450318907853e-05
USSR,2013.0,0.0
Uzbekistan,2013.0,0.06151812896132469
Other CIS,2013.0,0.3205095316443476
Total CIS,2013.0,2.258841680779369
Iran,2013.0,0.14586081192828715
Iraq,2013.0,0.04567275897716172
Israel,2013.0,0.005923449381953105
Kuwait,2013.0,1.7856937120086513e-06
Oman,2013.0,1.1773804544645827e-05
Qatar,2013.0,0.0009157061576843262
Saudi Arabia,2013.0,0.00041674362728372216
United Arab Emirates,2013.0,0.0008527374593541026
Other Middle East,2013.0,0.04202173554949695
Total Middle East,2013.0,0.24167750257947773
Algeria,2013.0,0.001251947891432792
Egypt,2013.0,0.14558819495141506
Morocco,2013.0,0.0392460273578763
South Africa,2013.0,0.0210260939784348
Eastern Africa,2013.0,0.6472273039082665
Middle Africa,2013.0,0.19087581076725257
Western Africa,2013.0,0.17138380899626782
Other Northern Africa,2013.0,0.004319364985349239
Other Southern Africa,2013.0,0.023327398266701493
Total Africa,2013.0,1.2442459511029966
Australia,2013.0,0.3646886693313718
Bangladesh,2013.0,0.009119388181716204
China,2013.0,10.917256359010935
China Hong Kong SAR,2013.0,0.0018861350545194
India,2013.0,1.8937120265327394
Indonesia,2013.0,0.29110341891646385
Japan,2013.0,1.2256329638476018
Malaysia,2013.0,0.13769472017884254
New Zealand,2013.0,0.3189377030794276
Pakistan,2013.0,0.3118312116712332
Philippines,2013.0,0.2054379745386541
Singapore,2013.0,0.008233202621340752
South Korea,2013.0,0.12853402085602283
Sri Lanka,2013.0,0.07073227502405643
Taiwan,2013.0,0.0968610510117287
Thailand,2013.0,0.18500779010355473
Vietnam,2013.0,0.5686985078500584
Other Asia Pacific,2013.0,0.559946898389768
Total Asia Pacific,2013.0,17.295314316200034
Total World,2013.0,52.927285390989354
of which: OECD,2013.0,25.482883306593067
                 Non-OECD,2013.0,27.444402084396287
                 European Union #,2013.0,8.631163874075355
Canada,2014.0,4.068446945399046
Mexico,2014.0,0.5310063175857067
United States,2014.0,6.797077044844627
Total North America,2014.0,11.39653030782938
Argentina,2014.0,0.38939827121794224
Brazil,2014.0,4.984277591109276
Chile,2014.0,0.3006443381309509
Colombia,2014.0,0.4853251064196229
Ecuador,2014.0,0.117470694007352
Peru,2014.0,0.25007445621304214
Trinidad & Tobago,2014.0,6.074014163459651e-05
Venezuela,2014.0,0.7857366704847664
Central America,2014.0,0.3134922274039127
Other Caribbean,2014.0,0.052302590329190934
Other South America,2014.0,0.7057047522430366
Total S. & Cent. America,2014.0,8.384487437700727
Austria,2014.0,0.5160848000086844
Belgium,2014.0,0.14415158750489354
Bulgaria,2014.0,0.0769570202101022
Croatia,2014.0,0.09842180251735044
Cyprus,2014.0,0.003596204041969031
Czech Republic,2014.0,0.11085390532389283
Denmark,2014.0,0.19227947630861308
Estonia,2014.0,0.015546201349934563
Finland,2014.0,0.29482269170694053
France,2014.0,1.0311785154044628
Germany,2014.0,1.7812837436795235
Greece,2014.0,0.12548237200826406
Hungary,2014.0,0.04226092156022787
Iceland,2014.0,0.17482402797031682
Ireland,2014.0,0.06799642671830952
Italy,2014.0,1.2523599435808137
Latvia,2014.0,0.02913007012102753
Lithuania,2014.0,0.018069156707497314
Luxembourg,2014.0,0.006948161462787539
Netherlands,2014.0,0.13855249132029712
North Macedonia,2014.0,0.012610323005901591
Norway,2014.0,1.3511888587090652
Poland,2014.0,0.24002199806272984
Portugal,2014.0,0.3246284899651073
Romania,2014.0,0.2507123800460249
Slovakia,2014.0,0.06890371721237898
Slovenia,2014.0,0.06669384791166522
Spain,2014.0,1.1368965925648808
Sweden,2014.0,0.8819564511068165
Switzerland,2014.0,0.40029553789645433
Turkey,2014.0,0.519992012064904
Ukraine,2014.0,0.10110211186110973
United Kingdom,2014.0,0.7173404432833195
Other Europe,2014.0,0.32002935065497695
Total Europe,2014.0,12.513171633851243
Azerbaijan,2014.0,0.013726164936088026
Belarus,2014.0,0.003231226233765483
Kazakhstan,2014.0,0.08072680150507949
Russia,2014.0,1.6988294022157788
Turkmenistan,2014.0,6.116438635217492e-05
USSR,2014.0,0.0
Uzbekistan,2014.0,0.06032085418701172
Other CIS,2014.0,0.3111775515244517
Total CIS,2014.0,2.1680731649885274
Iran,2014.0,0.14394682343117893
Iraq,2014.0,0.028209855838213116
Israel,2014.0,0.00989489421772305
Kuwait,2014.0,3.196952457074076e-05
Oman,2014.0,1.1703303243848495e-05
Qatar,2014.0,0.0012334913481026888
Saudi Arabia,2014.0,0.00044746603816747665
United Arab Emirates,2014.0,0.0030370948370546103
Other Middle East,2014.0,0.025841426437182236
Total Middle East,2014.0,0.2126547249754367
Algeria,2014.0,0.0024771991884335876
Egypt,2014.0,0.1438987096771598
Morocco,2014.0,0.03473248705267906
South Africa,2014.0,0.044181576115079224
Eastern Africa,2014.0,0.6977557382779196
Middle Africa,2014.0,0.2037383636778145
Western Africa,2014.0,0.1783563444244578
Other Northern Africa,2014.0,0.005902704652726243
Other Southern Africa,2014.0,0.025400800388524658
Total Africa,2014.0,1.3364439234547945
Australia,2014.0,0.336470496840775
Bangladesh,2014.0,0.007851947797462344
China,2014.0,12.786826685070992
China Hong Kong SAR,2014.0,0.0017336347955279052
India,2014.0,2.024098945548758
Indonesia,2014.0,0.30517444759607315
Japan,2014.0,1.3527307418407872
Malaysia,2014.0,0.1532996315509081
New Zealand,2014.0,0.3389778973587454
Pakistan,2014.0,0.3211366534233093
Philippines,2014.0,0.20432322286069393
Singapore,2014.0,0.008785322308540344
South Korea,2014.0,0.1556939072906971
Sri Lanka,2014.0,0.04790513636544347
Taiwan,2014.0,0.08501691484161711
Thailand,2014.0,0.21294016763567924
Vietnam,2014.0,0.607694283942692
Other Asia Pacific,2014.0,0.5438663614693269
Total Asia Pacific,2014.0,19.494526398538028
Total World,2014.0,55.50588759133814
of which: OECD,2014.0,26.115181410664263
                 Non-OECD,2014.0,29.390706180673874
                 European Union #,2014.0,8.916752573239592
Canada,2015.0,4.184416354633868
Mexico,2015.0,0.47598882485181093
United States,2015.0,6.922727108001709
Total North America,2015.0,11.583132287487388
Argentina,2015.0,0.39096094481647015
Brazil,2015.0,5.068702071905136
Chile,2015.0,0.32665567845106125
Colombia,2015.0,0.48353075981140137
Ecuador,2015.0,0.13329266314394772
Peru,2015.0,0.26324572367593646
Trinidad & Tobago,2015.0,6.0640351875917986e-05
Venezuela,2015.0,0.725991252809763
Central America,2015.0,0.3397805736749433
Other Caribbean,2015.0,0.05082387557965262
Other South America,2015.0,0.7154993553594977
Total S. & Cent. America,2015.0,8.498543539579686
Austria,2015.0,0.4890882819890976
Belgium,2015.0,0.16089564363937825
Bulgaria,2015.0,0.09139277948997915
Croatia,2015.0,0.0742895044445504
Cyprus,2015.0,0.00437455897917971
Czech Republic,2015.0,0.11240193177945912
Denmark,2015.0,0.20057623108732514
Estonia,2015.0,0.017045567248715088
Finland,2015.0,0.3346231123432517
France,2015.0,1.005962124094367
Germany,2015.0,2.0251247733831406
Greece,2015.0,0.1510449112392962
Hungary,2015.0,0.042459586868062615
Iceland,2015.0,0.180746374422597
Ireland,2015.0,0.08215073973406106
Italy,2015.0,1.143979505810421
Latvia,2015.0,0.029398646322079003
Lithuania,2015.0,0.019930653943447396
Luxembourg,2015.0,0.007793376571498811
Netherlands,2015.0,0.15495644364273176
North Macedonia,2015.0,0.019718026870577887
Norway,2015.0,1.3644695542752743
Poland,2015.0,0.2627447070553899
Portugal,2015.0,0.25647029042011127
Romania,2015.0,0.2615680880844593
Slovakia,2015.0,0.06778739718720317
Slovenia,2015.0,0.04390348136075772
Spain,2015.0,1.0048324903473258
Sweden,2015.0,1.0453073629178107
Switzerland,2015.0,0.40334079059539363
Turkey,2015.0,0.8162664339179173
Ukraine,2015.0,0.07053489319514483
United Kingdom,2015.0,0.8997197579592466
Other Europe,2015.0,0.3161751330947027
Total Europe,2015.0,13.161073154313954
Azerbaijan,2015.0,0.017008879454806447
Belarus,2015.0,0.0034356993855908513
Kazakhstan,2015.0,0.09159211872611195
Russia,2015.0,1.6378773590549827
Turkmenistan,2015.0,8.118342157104053e-05
USSR,2015.0,0.0
Uzbekistan,2015.0,0.05836689472198486
Other CIS,2015.0,0.2949605741923733
Total CIS,2015.0,2.103322708957421
Iran,2015.0,0.13004298927262425
Iraq,2015.0,0.025239590962883085
Israel,2015.0,0.013402974014752544
Kuwait,2015.0,4.934602475259453e-05
Oman,2015.0,3.5870391002390534e-05
Qatar,2015.0,0.0014344638912007213
Saudi Arabia,2015.0,0.00044480254291556776
United Arab Emirates,2015.0,0.0029141202103346586
Other Middle East,2015.0,0.012355498979559343
Total Middle East,2015.0,0.18591965629002516
Algeria,2015.0,0.0021522234892472625
Egypt,2015.0,0.15143166668713093
Morocco,2015.0,0.04275459796190262
South Africa,2015.0,0.06916401605121791
Eastern Africa,2015.0,0.7058426882381355
Middle Africa,2015.0,0.20462722914840015
Western Africa,2015.0,0.16054123918496543
Other Northern Africa,2015.0,0.005722149039229407
